Tlei_v1.17230-RA	OG0012072	Description=WD repeat-containing protein RUP2	Aco010278	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_WD_repeat-containing_protein_RUP2
Tlei_v1.12821-RA	OG0012875	Description=hypothetical protein ACMD2_26914	Aco018533	Diff_expressed_CAMC3
Tlei_v1.31477-RA	OG0016975	Description=mediator of RNA polymerase II transcription subunit 8 isoform X1	Aco008292	Diff_expressed_CAMC3
Tlei_v1.24376-RA	OG0008198	Description=sugar transporter ERD6-like 4	Aco005379	circadian_metabolism_Wai2017, 00_#W_HexoseTransporter_GLUT6/8-like_transporter
Tlei_v1.04983-RA	OG0011378	Description=F-box protein SKP2A	Aco011306	Diff_expressed_CAMC3
Tlei_v1.04993-RA	OG0011370	Description=pentatricopeptide repeat-containing protein At3g21470	Aco011299	pos_selection_CAM_shifts
Tlei_v1.08060-RA	OG0008731	Description=glycosyltransferase family protein 64 protein C5	Aco005283	Diff_expressed_CAMC3
Tlei_v1.05033-RA	OG0000505	Description=glycosyltransferase BC10	Aco011262	Diff_expressed_CAMC3
Tlei_v1.22217-RA	OG0000505	Description=glycosyltransferase BC10	Aco011262	Diff_expressed_CAMC3
Tlei_v1.09925-RA	OG0011748	Description=probable ubiquitin-conjugating enzyme E2 C	Aco012466	Diff_expressed_CAMC3
Tlei_v1.09920-RA	OG0011749	Description=E3 SUMO-protein ligase SIZ1	Aco012463	pos_selection_CAM_shifts
Tlei_v1.29098-RA	OG0010614	Description=lysophospholipid acyltransferase LPEAT2	Aco009392	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.06813-RA	OG0000993	Description=NADP-dependent malic enzyme	Aco009967	CAM-related_Acomosus_Ming2015, 00_#32_Malic_enzyme
Tlei_v1.24095-RA	OG0000993	Description=NADP-dependent malic enzyme	Aco009967	CAM-related_Acomosus_Ming2015, 00_#32_Malic_enzyme
Tlei_v1.28859-RA	OG0010569	Description=Nuclear/nucleolar GTPase 2	Aco009289	Diff_expressed_CAMC3
Tlei_v1.17182-RA	OG0012052	Description=malate dehydrogenase [NADP], chloroplastic	Aco010232	CAM-related_Acomosus_Ming2015, 00_##28_Malate_dehydrogenase
Tlei_v1.01394-RA	OG0006261	Description=sprT-like domain-containing protein Spartan	Aco001055	Diff_expressed_CAMC3
Tlei_v1.21129-RA	OG0013454	Description=pentatricopeptide repeat-containing protein At4g32430, mitochondrial	Aco016139	pos_selection_CAM_shifts
Tlei_v1.07790-RA	OG0014526	Description=Tetraketide alpha-pyrone reductase 2	Aco021230	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12558-RA	OG0010900	Description=probable aquaporin NIP5-1	Aco008925	aquaporin_reg, 02_Aquaporins
Tlei_v1.01687-RA	OG0006129	Description=tonoplast dicarboxylate transporter	Aco000795	circadian_metabolism_Wai2017, 00_#W_MalateTransporter_tDT_11_Glycolysis_night_C4_malate_pathway
Tlei_v1.09364-RA	OG0009912	Description=calmodulin-binding heat-shock protein	Aco010620	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16797-RA	OG0014594	Description=deoxymugineic acid synthase 1-D-like	Aco014781	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.09372-RA	OG0009910	Description=probable glycerol-3-phosphate acyltransferase 8	Aco010614	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12393-RA	OG0013834	Description=transcription factor PCF2-like	Aco015741	gene_families_CAMC3
Tlei_v1.31180-RA	OG0009102	Description=V-type proton ATPase subunit a1	Aco007033	malateTransferase_Assimilation_Carbohydrates, 03_VATPase
Tlei_v1.03481-RA	OG0004300	Description=Gibberellin 2-beta-dioxygenase 8	Aco011056	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.03469-RA	OG0004307	Description=em protein H5	Aco011067	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.30152-RA	OG0004307	Description=Em-like protein GEA6	Aco011067	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.17080-RA	OG0011988	Description=TBC1 domain family member 15	Aco010122	gene_families_CAMC3
Tlei_v1.11000-RA	OG0013028	Description=aquaporin SIP1-2	Aco013623	aquaporin_reg, 02_Aquaporins
Tlei_v1.12999-RA	OG0001901	Description=probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 9 isoform X1	Aco000950	Diff_expressed_CAMC3
Tlei_v1.17337-RA	OG0012198	Description=auxin response factor 12-like isoform X1	Aco012988	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.31345-RA	OG0009598	Description=auxin response factor 17-like	Aco008426	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.14123-RA	OG0011051	Description=auxin response factor 19-like	Aco011464	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.02233-RA	OG0006484	Description=Gamma-tubulin complex component 6	Aco002187	pos_selection_CAM_shifts
Tlei_v1.14425-RA	OG0002743	Description=cinnamoyl-CoA reductase-like SNL6	Aco020843	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.08093-RB	OG0008712	Description=FAD/NADP-binding oxidoreductase family protein	Aco005251	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12149-RA	OG0000524	Description=cycloartenol synthase	Aco007483	pos_selection_CAM_shifts
Tlei_v1.14336-RA	OG0000524	Description=cycloartenol synthase	Aco007483	pos_selection_CAM_shifts
Tlei_v1.18441-RA	OG0000524	Description=Beta-amyrin synthase	Aco007483	pos_selection_CAM_shifts
Tlei_v1.27230-RA	OG0000526	Description=Aquaporin PIP1-2	Aco012014	aquaporin_reg, 02_Aquaporins
Tlei_v1.17204-RA	OG0000526	Description=probable aquaporin PIP1-2	Aco012014	aquaporin_reg, 02_Aquaporins
Tlei_v1.28827-RA	OG0000526	Description=probable aquaporin PIP1-2	Aco012014	aquaporin_reg, 02_Aquaporins
Tlei_v1.13041-RA	OG0007198	Description=putative oxidoreductase YgbJ	Aco002990	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.20454-RA	OG0014653	Description=auxin response factor 23-like isoform X1	Aco029197	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.13344-RA	OG0003197	Description=non-specific lipid-transfer protein-like 1	Aco002697	Diff_expressed_CAMC3
Tlei_v1.07264-RA	OG0003996	Description=putative Serine/arginine repetitive matrix protein 2	Aco023190	Diff_expressed_CAMC3
Tlei_v1.25561-RA	OG0001453	Description=hydroquinone glucosyltransferase-like	Aco021241	Diff_expressed_CAMC3
Tlei_v1.25529-RA	OG0001452	Description=BURP domain-containing protein 3	Aco018117	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.03942-RA	OG0001458	Description=1-aminocyclopropane-1-carboxylate oxidase homolog 1-like	Aco010438	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.27621-RA	OG0015423	Description=glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic	Aco017076	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.12723-RA	OG0015338	Description=oxygen-evolving enhancer protein 3-1, chloroplastic-like	Aco027695	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.06959-RA	OG0003609	Description=putative anthocyanidin reductase	Aco010710	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26836-RA	OG0004652	Description=NAD(P)H-quinone oxidoreductase subunit M, chloroplastic	Aco029846	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18254-RA	OG0012713	Description=pentatricopeptide repeat-containing protein At1g71210, mitochondrial	Aco013214	pos_selection_CAM_shifts
Tlei_v1.00832-RA	OG0017876	Description=auxin response factor 16 isoform X1	Aco018978	stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.30541-RA	OG0002949	Description=DIMBOA UDP-glucosyltransferase BX8-like	Aco000491	Diff_expressed_CAMC3
Tlei_v1.19672-RA	OG0007343	Description=probable methyltransferase PMT26	Aco003279	pos_selection_CAM_shifts
Tlei_v1.19670-RA	OG0007345	Description=aldehyde dehydrogenase family 3 member H1-like	Aco003277	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.21218-RA	OG0002555	Description=Ubiquitin-like modifier-activating enzyme 5	Aco016070	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.17340-RA	OG0012206	Description=probable polyamine oxidase 4	Aco012992	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.06327-RA	OG0001929	Description=40S ribosomal protein	Aco002037	Diff_expressed_CAMC3
Tlei_v1.06315-RA	OG0001929	Description=40S ribosomal protein S23-1	Aco002037	Diff_expressed_CAMC3
Tlei_v1.28590-RA	OG0015735	Description=NDR1/HIN1-like protein 26	Aco014875	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.14737-RA	OG0012836	Description=protein LHY-like isoform X1	Aco016649	pos_selection_CAM_shifts, circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_CCA1/LHY
Tlei_v1.12891-RB	OG0003256	Description=sodium/hydrogen exchanger 6-like isoform X1	Aco003126	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.14498-RA	OG0012285	Description=glutamate dehydrogenase 2, mitochondrial	Aco011651	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.11022-RA	OG0002763	Description=Two pore potassium channel a	Aco017556	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.08544-RA	OG0002763	Description=Two pore potassium channel a	Aco017556	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.18260-RA	OG0012711	Description=mannose-1-phosphate guanylyltransferase 1	Aco013205	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27446-RA	OG0013768	Description=transcription repressor OFP7-like	Aco015521	Diff_expressed_CAMC3
Tlei_v1.29345-RA	OG0001710	Description=sucrose:sucrose 1-fructosyltransferase-like	Aco017533	circadian_metabolism_Wai2017, 00_#W_VacuolarAcidInvertase_AI
Tlei_v1.20397-RA	OG0001713	Description=pirin-like protein	Aco021408	Diff_expressed_CAMC3
Tlei_v1.04767-RA	OG0001713	Description=pirin-like protein	Aco021408	Diff_expressed_CAMC3
Tlei_v1.11182-RA	OG0001439	Description=Malate dehydrogenase, glyoxysomal	Aco008626	CAM-related_Acomosus_Ming2015, 00_#30_Malate_dehydrogenase
Tlei_v1.08360-RA	OG0001439	Description=Malate dehydrogenase, glyoxysomal	Aco008626	CAM-related_Acomosus_Ming2015, 00_#30_Malate_dehydrogenase
Tlei_v1.25383-RA	OG0001431	Description=mitochondrial outer membrane protein porin 1-like	Aco005915	Diff_expressed_CAMC3
Tlei_v1.24009-RA	OG0001431	Description=mitochondrial outer membrane protein porin 1-like	Aco005915	Diff_expressed_CAMC3
Tlei_v1.15751-RA	OG0010413	Description=NAD-dependent malic enzyme 59 kDa isoform, mitochondrial	Aco007622	CAM-related_Acomosus_Ming2015, 00_#36_Malic_enzyme
Tlei_v1.23790-RA	OG0011558	Description=glycerol-3-phosphate 2-O-acyltransferase 6-like	Aco009639	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.02148-RA	OG0006521	Description=C1-like domain-containing protein	Aco002268	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18346-RA	OG0010314	Description=sugar carrier protein C-like	Aco007400	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18804-RA	OG0017852	Description=uncharacterized protein LOC109720649	Aco014837	Diff_expressed_CAMC3
Tlei_v1.30432-RA	OG0011854	Description=calcium-dependent protein kinase 2-like	Aco025773	Diff_expressed_CAMC3
Tlei_v1.00735-RA	OG0017729	Description=Protein TIFY 3	Aco026631	circadian_clock, 09_Circadian_clock
Tlei_v1.17377-RA	OG0012221	Description=U-box domain-containing protein 44-like	Aco013023	Diff_expressed_CAMC3
Tlei_v1.11229-RA	OG0001942	Description=Oxygen-evolving enhancer protein 2, chloroplastic	Aco008684	malateTransferase_Assimilation_Carbohydrates, 04_Oxygen_evolving_enhancer_OEE
Tlei_v1.01076-RA	OG0006392	Description=bZIP transcription factor TRAB1-like	Aco001326	stomata_func, circadian_metabolism_Wai2017, 00_#W_StomatalMovement_ABA_responsive_binding-element_F101b_Abscisic_acid_signal
Tlei_v1.30882-RA	OG0009233	Description=Sucrose-phosphatase 2	Aco007306	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23846-RA	OG0011599	Description=NADPH-dependent aldehyde reductase-like protein, chloroplastic	Aco009713	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.19792-RA	OG0007409	Description=monooxygenase 1-like isoform X1	Aco003393	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.28196-RA	OG0002147	Description=probable glycerol-3-phosphate dehydrogenase [NAD(+)] 1, cytosolic	Aco007248	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.00165-RA	OG0012480	Description=UDP-glucuronate 4-epimerase 1	Aco012095	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23246-RA	OG0017452	Description=teosinte branched 1	Aco024489	Diff_expressed_CAMC3
Tlei_v1.24191-RA	OG0008289	Description=aluminum-activated malate transporter 9-like	Aco005552	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.24177-RA	OG0008288	Description=Late embryogenesis abundant protein	Aco005561	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.28000-RA	OG0004897	Description=short-chain dehydrogenase TIC 32, chloroplastic	Aco017637	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16828-RA	OG0014584	Description=sugar transport protein MST1	Aco014753	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27393-RA	OG0012567	Description=predicted protein	Aco011881	pos_selection_CAM_shifts
Tlei_v1.27387-RA	OG0012566	Description=auxin response factor 12-like isoform X1	Aco011886	pos_selection_CAM_shifts, stomata_func, 01d_Auxin_reponse_factor
Tlei_v1.29983-RA	OG0003158	Description=Glucose-6-phosphate 1-dehydrogenase 4, chloroplastic	Aco022384	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.03259-RA	OG0003151	Description=ABSCISIC ACID-INSENSITIVE 5-like protein 2	Aco001707	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.27094-RA	OG0013278	Description=putative glycerol-3-phosphate transporter 4	Aco012869	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.29350-RA	OG0000829	Description=L-lactate dehydrogenase A	Aco017528	CAM-related_Acomosus_Ming2015, 00_#26_Lactate_dehydrogenase
Tlei_v1.29349-RA	OG0000829	Description=L-lactate dehydrogenase A	Aco017528	CAM-related_Acomosus_Ming2015, 00_#26_Lactate_dehydrogenase
Tlei_v1.04697-RA	OG0001411	Description=Late embryogenesis abundant protein Lea14-A	Aco018009	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.22248-RA	OG0001411	Description=Late embryogenesis abundant protein Lea14-A	Aco018009	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.30380-RA	OG0016616	Description=electron transfer flavoprotein subunit alpha, mitochondrial	Aco000653	Diff_expressed_CAMC3
Tlei_v1.08448-RA	OG0016870	Description=Calcium-transporting ATPase 1, plasma membrane-type	Aco004919	pos_selection_CAM_shifts
Tlei_v1.21056-RA	OG0009460	Description=Glucose-6-phosphate 1-dehydrogenase, cytoplasmic isoform	Aco008126	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.26297-RA	OG0015510	Description=ribulose-phosphate 3-epimerase, cytoplasmic isoform	Aco022874	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.23623-RB	OG0011459	Description=Sanguinarine reductase	Aco009474	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.10933-RA	OG0002512	Description=probable glycerol-3-phosphate acyltransferase 3	Aco013695	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.10961-RA	OG0000619	Description=S-adenosylmethionine synthase	Aco013659	pos_selection_CAM_shifts
Tlei_v1.30845-RA	OG0000619	Description=S-adenosylmethionine synthase	Aco013659	pos_selection_CAM_shifts
Tlei_v1.24388-RB	OG0008194	Description=Auxilin-like protein 1	Aco005366	Diff_expressed_CAMC3
Tlei_v1.24382-RA	OG0008197	Description=Late embryogenesis abundant protein D-29	Aco005373	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.21251-RA	OG0016040	Description=glycerophosphodiester phosphodiesterase GDPD1, chloroplastic-like	Aco017829	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.10054-RA	OG0011809	Description=Late embryogenesis abundant protein	Aco012577	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.14414-RA	OG0015542	Description=probable plastid-lipid-associated protein 3, chloroplastic	Aco016986	Diff_expressed_CAMC3
Tlei_v1.12827-RA	OG0000580	Description=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Aco018526	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.27541-RA	OG0000580	Description=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Aco018526	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.31518-RA	OG0009500	Description=diacylglycerol kinase 4-like	Aco008246	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25546-RA	OG0003584	Description=S-type anion channel SLAH2-like isoform X1	Aco006064	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.02397-RA	OG0003054	Description=CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase 1, chloroplastic	Aco002071	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.00474-RA	OG0003050	Description=2-oxoglutarate-dependent dioxygenase DAO	Aco002015	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.09120-RA	OG0014647	Description=transcription factor PCF2-like	Aco021664	gene_families_CAMC3
Tlei_v1.20036-RA	OG0003139	Description=RNA pseudouridine synthase 7	Aco001542	Diff_expressed_CAMC3
Tlei_v1.20791-RA	OG0009381	Description=pyruvate kinase 1, cytosolic-like	Aco007953	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27151-RA	OG0013233	Description=probable aquaporin TIP5-1	Aco012825	aquaporin_reg, 02_Aquaporins
Tlei_v1.15926-RA	OG0013727	Description=calmodulin-binding transcription activator 4-like	Aco019042	pos_selection_CAM_shifts
Tlei_v1.29232-RA	OG0002268	Description=epimerase family protein SDR39U1 homolog, chloroplastic isoform X1	Aco009409	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.29230-RA	OG0002268	Description=epimerase family protein SDR39U1 homolog, chloroplastic isoform X1	Aco009409	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.22174-RA	OG0000808	Description=probable magnesium transporter NIPA4 isoform X1	Aco013587	Diff_expressed_CAMC3
Tlei_v1.16066-RA	OG0000808	Description=probable magnesium transporter NIPA4	Aco013587	Diff_expressed_CAMC3
Tlei_v1.06110-RA	OG0000806	Description=probable linoleate 9S-lipoxygenase 5	Aco018451	Diff_expressed_CAMC3
Tlei_v1.23390-RA	OG0000806	Description=probable linoleate 9S-lipoxygenase 4	Aco018451	Diff_expressed_CAMC3
Tlei_v1.14408-RA	OG0015546	Description=glycerol-3-phosphate acyltransferase, chloroplastic isoform X1	Aco016993	pos_selection_CAM_shifts, glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.05119-RA	OG0004636	Description=V-type proton ATPase subunit G-like	Aco022226	circadian_metabolism_Wai2017, 00_#W_ProtonPump_VHA-G_03_VATPase
Tlei_v1.12175-RA	OG0017899	Description=leucine-rich repeat receptor-like tyrosine-protein kinase PXC3	Aco020162	Diff_expressed_CAMC3
Tlei_v1.07082-RA	OG0009052	Description=probable aquaporin TIP4-3	Aco010816	aquaporin_reg, 02_Aquaporins
Tlei_v1.09350-RA	OG0003850	Description=Root cap	Aco014393	draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.22212-RA	OG0008165	Description=protein YLS7	Aco004804	Diff_expressed_CAMC3
Tlei_v1.30688-RA	OG0005865	Description=probable chlorophyll(ide) b reductase NYC1, chloroplastic	Aco000337	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.25509-RA	OG0003577	Description=50S ribosomal protein L13, chloroplastic	Aco006030	pos_selection_CAM_shifts
Tlei_v1.31232-RA	OG0004253	Description=triosephosphate isomerase, cytosolic	Aco015453	Diff_expressed_CAMC3
Tlei_v1.28866-RA	OG0000639	Description=probable prolyl 4-hydroxylase 3	Aco009282	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.26724-RA	OG0000639	Description=probable prolyl 4-hydroxylase 3	Aco009282	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.17956-RA	OG0013533	Description=probable 1-acylglycerol-3-phosphate O-acyltransferase	Aco027210	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.11402-RA	OG0010842	Description=Pyruvate kinase isozyme A, chloroplastic	Aco008830	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.27252-RA	OG0012629	Description=Calcium-dependent protein kinase 29	Aco011994	Diff_expressed_CAMC3
Tlei_v1.30819-RA	OG0012415	Description=Cathepsin B	Aco027767	pos_selection_CAM_shifts
Tlei_v1.27180-RA	OG0002094	Description=protein NRT1/ PTR FAMILY 6.3-like	Aco012057	Diff_expressed_CAMC3
Tlei_v1.24285-RA	OG0008240	Description=predicted protein	Aco005457	Diff_expressed_CAMC3
Tlei_v1.16994-RA	OG0005040	Description=glycerophosphodiester phosphodiesterase GDPDL4-like	Aco031276	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.09227-RA	OG0005047	Description=probable aquaporin PIP2-6	Aco019543	aquaporin_reg, 02_Aquaporins
Tlei_v1.09224-RA	OG0005047	Description=probable aquaporin PIP2-6	Aco019543	aquaporin_reg, 02_Aquaporins
Tlei_v1.01725-RA	OG0016621	Description=putative oxidoreductase	Aco000753	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.21413-RA	OG0014957	Description=protein GIGANTEA	Aco014347	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_GIGANTEA_09_Circadian_clock
Tlei_v1.21405-RA	OG0014958	Description=Aldehyde dehydrogenase family 2 member C4	Aco014342	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.19499-RA	OG0015085	Description=Alpha carbonic anhydrase 1, chloroplastic	Aco016727	CAM-related_Acomosus_Ming2015, 00_#18_Malate_dehydrogenase
Tlei_v1.17556-RA	OG0014069	Description=Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6, chloroplastic	Aco015128	pos_selection_CAM_shifts
Tlei_v1.20133-RA	OG0007574	Description=6-phosphogluconate dehydrogenase, decarboxylating 2, chloroplastic-like	Aco003688	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.16628-RA	OG0000267	Description=Pyrophosphate-energized vacuolar membrane proton pump	Aco008167	circadian_metabolism_Wai2017, 00_#W_ProtonPump_AVP1
